inquiry_id,department,inquiry_type,channel,student_type,quarter,month,day_of_week,time_slot,staff_member,wait_time_min,service_time_min,resolution,escalated,callback_required,satisfaction_score
10017,Registrar,Grade Change,Email,Prospective,Fall 2024,Nov,Monday,12-2 PM,Staff D,4.5,11.6,Follow-Up Required,No,Yes,4.1
10018,Registrar,Grade Change,Walk-In,Undergraduate,Winter 2025,Jan,Friday,2-4 PM,Staff C,36.6,19.5,Follow-Up Required,No,No,3.7
10019,Registrar,Grade Change,Walk-In,Graduate,Winter 2025,Feb,Wednesday,8-10 AM,Staff C,5.8,16.2,Follow-Up Required,No,Yes,2.5
10020,Financial Aid,Award Letter,Email,Parent/Guardian,Fall 2024,Dec,Friday,10-12 PM,Staff A,9.7,17.2,Resolved on First Contact,No,No,4.4
10021,Student Business Services,Refund Status,Walk-In,Undergraduate,Winter 2025,Feb,Thursday,10-12 PM,Staff B,11.6,18.4,Resolved on First Contact,No,No,4.6
10022,Financial Aid,Award Letter,Walk-In,Undergraduate,Summer 2025,Jul,Thursday,10-12 PM,Staff D,6.2,15.9,Follow-Up Required,No,Yes,3.2
10023,Financial Aid,Loan Questions,Phone,Undergraduate,Summer 2025,Jul,Monday,10-12 PM,Staff B,19.8,25.1,Resolved on First Contact,No,No,5.0
10024,Registrar,Transcript Request,Walk-In,Prospective,Fall 2024,Nov,Monday,12-2 PM,Staff G,14.1,14.8,Resolved on First Contact,No,No,4.5
10025,Registrar,Add/Drop,Walk-In,Undergraduate,Fall 2024,Sep,Monday,8-10 AM,Staff G,13.2,24.4,Escalated to Department,Yes,No,2.9
10026,Admissions,Transfer Credits,Walk-In,Graduate,Fall 2024,Sep,Thursday,12-2 PM,Staff C,21.9,20.8,Resolved on First Contact,No,No,3.4
10027,Financial Aid,Award Letter,Virtual Appointment,Undergraduate,Summer 2025,Jul,Tuesday,12-2 PM,Staff F,8.7,18.7,Escalated to Department,Yes,No,2.9
10028,Registrar,Transcript Request,Phone,Undergraduate,Fall 2024,Oct,Thursday,10-12 PM,Staff C,30.3,14.0,Resolved on First Contact,No,No,3.3
10029,Student Business Services,Payment Plan,Phone,Parent/Guardian,Spring 2025,Jun,Tuesday,10-12 PM,Staff B,4.7,19.2,Resolved on First Contact,No,No,4.9
10030,Financial Aid,Loan Questions,Phone,Undergraduate,Fall 2024,Oct,Thursday,12-2 PM,Staff H,6.5,24.9,Resolved on First Contact,No,No,4.6
10031,Student Business Services,1098-T,Walk-In,Undergraduate,Spring 2025,Jun,Monday,12-2 PM,Staff D,5.5,7.3,Escalated to Department,Yes,No,3.9
10032,Financial Aid,Scholarship Inquiry,Walk-In,Undergraduate,Winter 2025,Feb,Monday,2-4 PM,Staff F,15.6,23.6,Escalated to Department,Yes,No,4.0
10033,Financial Aid,Work-Study,Email,Graduate,Spring 2025,Apr,Tuesday,2-4 PM,Staff D,7.7,14.9,Resolved on First Contact,No,No,4.6
10034,General Inquiry,Hours/Location,Walk-In,Undergraduate,Fall 2024,Oct,Tuesday,2-4 PM,Staff A,37.8,17.4,Referred to Another Office,No,No,5.0
10035,General Inquiry,General Question,Walk-In,Undergraduate,Spring 2025,May,Tuesday,12-2 PM,Staff C,15.0,8.4,Resolved on First Contact,No,No,5.0
10036,Admissions,Application Status,Walk-In,Parent/Guardian,Fall 2024,Nov,Thursday,2-4 PM,Staff C,30.6,8.2,Resolved on First Contact,No,No,3.1
10037,Registrar,Add/Drop,Walk-In,Undergraduate,Spring 2025,Jun,Monday,2-4 PM,Staff G,43.2,13.7,Resolved on First Contact,No,No,3.9
10038,Financial Aid,Work-Study,Virtual Appointment,Undergraduate,Summer 2025,Aug,Tuesday,2-4 PM,Staff A,4.5,21.9,Resolved on First Contact,No,No,3.7
10039,Student Business Services,Tuition Payment,Walk-In,Undergraduate,Fall 2024,Nov,Friday,8-10 AM,Staff G,10.3,8.8,Resolved on First Contact,No,No,4.3
10040,Registrar,Add/Drop,Phone,Undergraduate,Summer 2025,Jul,Monday,2-4 PM,Staff B,1.7,10.0,Resolved on First Contact,No,No,3.5
10041,Financial Aid,Award Letter,Walk-In,Undergraduate,Winter 2025,Mar,Friday,10-12 PM,Staff C,8.1,11.0,Referred to Another Office,No,No,3.6
10042,Registrar,Transcript Request,Virtual Appointment,Graduate,Fall 2024,Dec,Friday,12-2 PM,Staff B,9.7,14.1,Follow-Up Required,No,Yes,3.7
10043,Financial Aid,Loan Questions,Walk-In,Parent/Guardian,Winter 2025,Mar,Monday,8-10 AM,Staff D,6.0,27.0,Escalated to Department,Yes,No,2.4
10044,General Inquiry,Hours/Location,Walk-In,Undergraduate,Fall 2024,Dec,Tuesday,10-12 PM,Staff F,11.9,10.3,Follow-Up Required,No,Yes,3.8
10045,Financial Aid,Scholarship Inquiry,Email,Graduate,Spring 2025,Jun,Tuesday,10-12 PM,Staff F,2.9,16.9,Follow-Up Required,No,Yes,3.8
10046,Student Business Services,Tuition Payment,Email,Undergraduate,Spring 2025,May,Thursday,10-12 PM,Staff F,0.0,11.6,Resolved on First Contact,No,No,3.7
10047,Registrar,Enrollment Verification,Walk-In,Graduate,Fall 2024,Nov,Wednesday,8-10 AM,Staff G,12.5,13.8,Follow-Up Required,No,No,4.5
10048,Registrar,Graduation Check,Walk-In,Undergraduate,Winter 2025,Jan,Thursday,2-4 PM,Staff E,9.0,9.0,Referred to Another Office,No,No,3.5
10049,Registrar,Grade Change,Walk-In,Undergraduate,Spring 2025,May,Thursday,8-10 AM,Staff A,9.5,15.3,Follow-Up Required,No,Yes,4.7
10050,Financial Aid,Scholarship Inquiry,Walk-In,Undergraduate,Summer 2025,Aug,Monday,10-12 PM,Staff F,6.8,16.0,Resolved on First Contact,No,No,4.5
10051,General Inquiry,Department Referral,Walk-In,Undergraduate,Winter 2025,Feb,Friday,8-10 AM,Staff C,18.8,21.0,Resolved on First Contact,No,No,4.0
10052,Admissions,Residency,Phone,Prospective,Summer 2025,Aug,Thursday,12-2 PM,Staff A,0.7,9.4,Referred to Another Office,No,No,3.3
10053,General Inquiry,Campus Resources,Walk-In,Graduate,Winter 2025,Mar,Wednesday,10-12 PM,Staff D,21.1,16.9,Resolved on First Contact,No,No,3.0
10054,Admissions,Admission Decision,Walk-In,Undergraduate,Winter 2025,Jan,Friday,10-12 PM,Staff D,15.0,21.9,Escalated to Department,Yes,No,3.6
10055,Student Business Services,Refund Status,Phone,Parent/Guardian,Spring 2025,Jun,Thursday,10-12 PM,Staff G,4.9,20.9,Resolved on First Contact,No,No,4.9
10056,General Inquiry,Department Referral,Virtual Appointment,Undergraduate,Winter 2025,Feb,Monday,12-2 PM,Staff D,6.4,7.5,Resolved on First Contact,No,No,3.6
10057,Financial Aid,Award Letter,Phone,Graduate,Winter 2025,Feb,Wednesday,8-10 AM,Staff D,3.8,12.0,Follow-Up Required,No,Yes,3.1
10058,Financial Aid,Work-Study,Walk-In,Undergraduate,Winter 2025,Feb,Wednesday,8-10 AM,Staff H,6.1,19.3,Resolved on First Contact,No,No,4.9
10059,Financial Aid,Loan Questions,Walk-In,Undergraduate,Spring 2025,May,Monday,10-12 PM,Staff E,16.6,17.3,Resolved on First Contact,No,No,4.9
10060,Registrar,Enrollment Verification,Virtual Appointment,Undergraduate,Spring 2025,Jun,Friday,2-4 PM,Staff H,21.0,14.6,Resolved on First Contact,No,No,3.2
10061,Registrar,Enrollment Verification,Walk-In,Undergraduate,Winter 2025,Jan,Monday,10-12 PM,Staff B,32.0,18.0,Follow-Up Required,No,No,3.3
10062,Financial Aid,FAFSA Status,Walk-In,Undergraduate,Fall 2024,Sep,Thursday,12-2 PM,Staff B,20.9,17.4,Resolved on First Contact,No,No,4.3
10063,Admissions,Transfer Credits,Phone,Graduate,Winter 2025,Feb,Wednesday,10-12 PM,Staff H,4.2,8.9,Resolved on First Contact,No,No,3.7
10064,Registrar,Add/Drop,Phone,Graduate,Winter 2025,Jan,Monday,10-12 PM,Staff F,8.2,13.0,Escalated to Department,Yes,No,2.8
10065,Financial Aid,Award Letter,Phone,Graduate,Fall 2024,Oct,Friday,8-10 AM,Staff E,12.6,24.6,Resolved on First Contact,No,No,5.0
10066,Registrar,Graduation Check,Walk-In,Prospective,Spring 2025,May,Friday,8-10 AM,Staff G,18.9,12.2,Resolved on First Contact,No,No,3.6
10067,Financial Aid,Loan Questions,Walk-In,Parent/Guardian,Winter 2025,Jan,Wednesday,10-12 PM,Staff B,11.8,27.8,Follow-Up Required,No,No,3.9
10068,Admissions,Orientation,Virtual Appointment,Graduate,Fall 2024,Oct,Tuesday,10-12 PM,Staff H,23.9,16.4,Resolved on First Contact,No,No,4.0
10069,Financial Aid,FAFSA Status,Walk-In,Graduate,Fall 2024,Sep,Monday,8-10 AM,Staff G,15.1,20.9,Resolved on First Contact,No,No,3.3
10070,General Inquiry,General Question,Phone,Undergraduate,Fall 2024,Dec,Tuesday,12-2 PM,Staff G,10.1,9.3,Referred to Another Office,No,No,4.6
10071,Admissions,Application Status,Email,Prospective,Summer 2025,Aug,Tuesday,2-4 PM,Staff D,26.0,7.4,Follow-Up Required,No,Yes,2.2
10072,Financial Aid,Work-Study,Phone,Prospective,Fall 2024,Sep,Wednesday,10-12 PM,Staff B,29.3,19.6,Resolved on First Contact,No,No,4.1
10073,Financial Aid,Loan Questions,Walk-In,Undergraduate,Fall 2024,Dec,Friday,12-2 PM,Staff A,18.5,16.9,Follow-Up Required,No,Yes,3.4
10074,Admissions,Transfer Credits,Walk-In,Undergraduate,Winter 2025,Feb,Wednesday,2-4 PM,Staff F,8.1,18.3,Resolved on First Contact,No,No,4.4
10075,Student Business Services,Refund Status,Phone,Parent/Guardian,Fall 2024,Dec,Friday,2-4 PM,Staff B,6.0,16.1,Resolved on First Contact,No,No,4.1
10076,Student Business Services,1098-T,Email,Undergraduate,Fall 2024,Sep,Thursday,10-12 PM,Staff A,7.7,8.1,Referred to Another Office,No,No,2.9
10077,Admissions,Transfer Credits,Virtual Appointment,Undergraduate,Fall 2024,Oct,Wednesday,12-2 PM,Staff C,13.9,13.8,Resolved on First Contact,No,No,4.1
10078,Financial Aid,Work-Study,Walk-In,Undergraduate,Winter 2025,Feb,Friday,8-10 AM,Staff A,10.6,15.4,Escalated to Department,Yes,No,3.9
10079,Registrar,Graduation Check,Walk-In,Undergraduate,Winter 2025,Feb,Wednesday,10-12 PM,Staff A,11.8,15.6,Resolved on First Contact,No,No,4.1
10080,Financial Aid,Work-Study,Virtual Appointment,Undergraduate,Winter 2025,Jan,Friday,10-12 PM,Staff D,8.1,14.6,Resolved on First Contact,No,No,3.9
10081,Admissions,Residency,Email,Undergraduate,Winter 2025,Mar,Tuesday,8-10 AM,Staff D,5.3,17.5,Resolved on First Contact,No,No,2.7
10082,Student Business Services,1098-T,Email,Undergraduate,Summer 2025,Aug,Monday,10-12 PM,Staff F,6.8,3.8,Resolved on First Contact,No,No,3.6
10083,Registrar,Transcript Request,Walk-In,Prospective,Winter 2025,Feb,Friday,8-10 AM,Staff D,24.7,10.6,Follow-Up Required,No,Yes,2.8
10084,Financial Aid,Scholarship Inquiry,Phone,Undergraduate,Fall 2024,Sep,Wednesday,12-2 PM,Staff A,7.2,18.2,Follow-Up Required,No,Yes,4.5
10085,Registrar,Graduation Check,Email,Undergraduate,Fall 2024,Oct,Friday,10-12 PM,Staff E,16.9,5.9,Follow-Up Required,No,No,3.5
10086,Registrar,Enrollment Verification,Phone,Undergraduate,Winter 2025,Feb,Friday,10-12 PM,Staff D,4.0,2.0,Follow-Up Required,No,Yes,4.5
10087,Student Business Services,Account Hold,Walk-In,Undergraduate,Spring 2025,May,Monday,8-10 AM,Staff D,15.9,25.0,Follow-Up Required,No,Yes,3.2
10088,Student Business Services,Account Hold,Walk-In,Parent/Guardian,Fall 2024,Dec,Wednesday,8-10 AM,Staff H,32.7,19.2,Escalated to Department,Yes,No,1.4
10089,Admissions,Application Status,Phone,Prospective,Spring 2025,May,Tuesday,12-2 PM,Staff A,2.9,6.2,Resolved on First Contact,No,No,5.0
10090,Registrar,Transcript Request,Walk-In,Undergraduate,Fall 2024,Dec,Thursday,2-4 PM,Staff C,9.8,7.0,Escalated to Department,Yes,No,2.9
10091,Financial Aid,Work-Study,Phone,Undergraduate,Winter 2025,Mar,Thursday,8-10 AM,Staff C,2.1,10.2,Resolved on First Contact,No,No,5.0
10092,Student Business Services,Account Hold,Virtual Appointment,Graduate,Spring 2025,Jun,Tuesday,10-12 PM,Staff H,2.0,14.8,Follow-Up Required,No,Yes,3.9
10093,Admissions,Transfer Credits,Walk-In,Undergraduate,Fall 2024,Oct,Wednesday,2-4 PM,Staff B,19.8,19.9,Escalated to Department,Yes,No,4.6
10094,Student Business Services,Tuition Payment,Email,Undergraduate,Winter 2025,Feb,Thursday,8-10 AM,Staff F,0.5,10.1,Resolved on First Contact,No,No,5.0
10095,Admissions,Application Status,Walk-In,Undergraduate,Fall 2024,Oct,Monday,2-4 PM,Staff C,9.4,10.2,Resolved on First Contact,No,No,4.7
10096,Registrar,Grade Change,Phone,Parent/Guardian,Spring 2025,Jun,Thursday,10-12 PM,Staff D,9.5,17.3,Referred to Another Office,No,No,2.7
10097,Registrar,Transcript Request,Virtual Appointment,Undergraduate,Fall 2024,Nov,Wednesday,10-12 PM,Staff E,10.5,14.1,Resolved on First Contact,No,No,4.7
10098,Registrar,Grade Change,Walk-In,Undergraduate,Summer 2025,Jul,Friday,10-12 PM,Staff B,9.3,12.2,Escalated to Department,Yes,No,3.8
10099,Financial Aid,Award Letter,Walk-In,Undergraduate,Fall 2024,Sep,Tuesday,10-12 PM,Staff F,18.9,21.2,Resolved on First Contact,No,No,3.3
10100,Financial Aid,Scholarship Inquiry,Walk-In,Undergraduate,Summer 2025,Aug,Monday,10-12 PM,Staff E,15.6,8.7,Follow-Up Required,No,No,3.3
10101,Financial Aid,Award Letter,Walk-In,Graduate,Winter 2025,Feb,Wednesday,2-4 PM,Staff E,5.9,19.9,Escalated to Department,Yes,No,3.1
10102,Student Business Services,1098-T,Email,Undergraduate,Spring 2025,Jun,Monday,12-2 PM,Staff D,6.4,17.9,Resolved on First Contact,No,No,4.6
10103,Registrar,Add/Drop,Virtual Appointment,Parent/Guardian,Fall 2024,Oct,Friday,12-2 PM,Staff A,17.9,6.3,Resolved on First Contact,No,No,3.6
10104,Registrar,Transcript Request,Walk-In,Undergraduate,Summer 2025,Aug,Monday,12-2 PM,Staff A,8.6,10.7,Resolved on First Contact,No,No,3.5
10105,General Inquiry,Hours/Location,Walk-In,Undergraduate,Fall 2024,Nov,Thursday,10-12 PM,Staff A,20.5,2.8,Resolved on First Contact,No,No,3.0
10106,Financial Aid,FAFSA Status,Walk-In,Undergraduate,Fall 2024,Nov,Wednesday,12-2 PM,Staff C,23.9,15.4,Resolved on First Contact,No,No,2.4
10107,Registrar,Grade Change,Email,Prospective,Winter 2025,Mar,Tuesday,10-12 PM,Staff A,13.8,5.3,Escalated to Department,Yes,No,4.0
10108,Admissions,Application Status,Walk-In,Undergraduate,Fall 2024,Nov,Monday,12-2 PM,Staff F,17.4,21.1,Referred to Another Office,No,No,3.9
10109,Financial Aid,Work-Study,Phone,Undergraduate,Fall 2024,Sep,Thursday,10-12 PM,Staff H,17.1,15.2,Follow-Up Required,No,No,4.4
10110,Financial Aid,Work-Study,Phone,Prospective,Summer 2025,Aug,Wednesday,12-2 PM,Staff D,12.4,19.0,Escalated to Department,Yes,No,2.9
10111,Financial Aid,FAFSA Status,Phone,Undergraduate,Summer 2025,Aug,Tuesday,2-4 PM,Staff H,10.6,24.3,Follow-Up Required,No,Yes,3.2
10112,Financial Aid,Scholarship Inquiry,Walk-In,Parent/Guardian,Winter 2025,Mar,Friday,10-12 PM,Staff C,9.8,6.6,Follow-Up Required,No,No,4.1
10113,General Inquiry,General Question,Email,Undergraduate,Summer 2025,Aug,Tuesday,8-10 AM,Staff F,1.4,9.2,Escalated to Department,Yes,No,4.5
10114,Admissions,Transfer Credits,Walk-In,Undergraduate,Winter 2025,Mar,Wednesday,10-12 PM,Staff A,8.0,7.0,Resolved on First Contact,No,No,5.0
10115,Student Business Services,Tuition Payment,Walk-In,Graduate,Fall 2024,Oct,Wednesday,10-12 PM,Staff F,10.9,10.1,Resolved on First Contact,No,No,3.4
10116,Admissions,Transfer Credits,Email,Undergraduate,Spring 2025,May,Monday,12-2 PM,Staff H,3.6,4.2,Resolved on First Contact,No,No,5.0
10117,Admissions,Admission Decision,Email,Graduate,Spring 2025,May,Friday,2-4 PM,Staff E,5.4,6.1,Escalated to Department,Yes,No,4.7
10118,Financial Aid,Scholarship Inquiry,Walk-In,Undergraduate,Summer 2025,Jul,Tuesday,10-12 PM,Staff D,30.6,12.4,Resolved on First Contact,No,No,4.2
10119,Admissions,Residency,Walk-In,Undergraduate,Fall 2024,Dec,Monday,10-12 PM,Staff D,34.6,10.4,Resolved on First Contact,No,No,4.8
10120,Registrar,Add/Drop,Walk-In,Parent/Guardian,Spring 2025,Jun,Tuesday,12-2 PM,Staff H,16.7,17.3,Resolved on First Contact,No,No,4.7
10121,Admissions,Admission Decision,Walk-In,Graduate,Fall 2024,Nov,Wednesday,8-10 AM,Staff F,40.4,14.9,Referred to Another Office,No,No,2.5
10122,Admissions,Transfer Credits,Walk-In,Undergraduate,Fall 2024,Sep,Wednesday,10-12 PM,Staff B,45.0,26.1,Escalated to Department,Yes,No,3.8
10123,Registrar,Graduation Check,Walk-In,Undergraduate,Fall 2024,Nov,Thursday,2-4 PM,Staff H,26.3,13.4,Resolved on First Contact,No,No,4.2
10124,Financial Aid,Scholarship Inquiry,Phone,Undergraduate,Summer 2025,Aug,Monday,12-2 PM,Staff D,0.7,20.5,Follow-Up Required,No,Yes,3.3
10125,Financial Aid,Work-Study,Email,Graduate,Spring 2025,Apr,Tuesday,8-10 AM,Staff E,4.4,19.8,Referred to Another Office,No,No,3.6
10126,Registrar,Add/Drop,Phone,Prospective,Spring 2025,Jun,Thursday,10-12 PM,Staff H,6.1,6.6,Resolved on First Contact,No,No,4.6
10127,Admissions,Application Status,Phone,Undergraduate,Winter 2025,Jan,Monday,12-2 PM,Staff H,4.1,18.7,Resolved on First Contact,No,No,5.0
10128,Admissions,Residency,Walk-In,Undergraduate,Fall 2024,Sep,Friday,12-2 PM,Staff D,25.2,7.6,Follow-Up Required,No,Yes,4.8
10129,Financial Aid,FAFSA Status,Virtual Appointment,Undergraduate,Fall 2024,Nov,Monday,2-4 PM,Staff H,5.3,19.6,Resolved on First Contact,No,No,2.7
10130,Registrar,Add/Drop,Email,Undergraduate,Fall 2024,Oct,Friday,10-12 PM,Staff B,7.9,13.1,Referred to Another Office,No,No,3.8
10131,Registrar,Add/Drop,Email,Prospective,Winter 2025,Mar,Tuesday,2-4 PM,Staff D,0.6,2.0,Escalated to Department,Yes,No,5.0
10132,Financial Aid,Loan Questions,Email,Undergraduate,Spring 2025,Jun,Wednesday,12-2 PM,Staff G,5.9,11.4,Follow-Up Required,No,No,3.5
10133,Financial Aid,FAFSA Status,Virtual Appointment,Undergraduate,Winter 2025,Feb,Monday,12-2 PM,Staff D,7.3,16.9,Follow-Up Required,No,Yes,3.4
10134,Registrar,Transcript Request,Phone,Undergraduate,Fall 2024,Dec,Monday,12-2 PM,Staff B,14.6,6.7,Referred to Another Office,No,No,3.4
10135,General Inquiry,Complaint,Walk-In,Undergraduate,Fall 2024,Dec,Monday,8-10 AM,Staff G,12.3,13.9,Resolved on First Contact,No,No,5.0
10136,Registrar,Transcript Request,Phone,Undergraduate,Fall 2024,Nov,Monday,2-4 PM,Staff G,11.1,20.7,Resolved on First Contact,No,No,4.6
10137,Registrar,Add/Drop,Email,Prospective,Winter 2025,Mar,Tuesday,8-10 AM,Staff D,10.6,3.4,Resolved on First Contact,No,No,4.7
10138,Student Business Services,1098-T,Email,Graduate,Summer 2025,Jul,Wednesday,10-12 PM,Staff H,11.5,17.2,Follow-Up Required,No,Yes,3.6
10139,Registrar,Grade Change,Phone,Undergraduate,Spring 2025,Apr,Wednesday,2-4 PM,Staff F,2.9,14.7,Escalated to Department,Yes,No,5.0
10140,General Inquiry,Campus Resources,Walk-In,Graduate,Spring 2025,Apr,Thursday,12-2 PM,Staff C,5.6,5.5,Follow-Up Required,No,Yes,3.5
10141,General Inquiry,Department Referral,Walk-In,Graduate,Winter 2025,Jan,Thursday,2-4 PM,Staff G,8.3,10.2,Follow-Up Required,No,No,4.5
10142,Financial Aid,FAFSA Status,Virtual Appointment,Undergraduate,Winter 2025,Mar,Wednesday,10-12 PM,Staff F,11.7,18.5,Resolved on First Contact,No,No,2.6
10143,Registrar,Transcript Request,Phone,Undergraduate,Fall 2024,Oct,Tuesday,10-12 PM,Staff D,7.9,20.2,Resolved on First Contact,No,No,4.3
10144,Registrar,Graduation Check,Phone,Undergraduate,Summer 2025,Aug,Wednesday,2-4 PM,Staff A,1.2,16.3,Resolved on First Contact,No,No,4.2
10145,Financial Aid,Award Letter,Walk-In,Undergraduate,Spring 2025,Apr,Tuesday,8-10 AM,Staff A,6.6,13.8,Follow-Up Required,No,No,3.9
10146,Financial Aid,Award Letter,Walk-In,Prospective,Fall 2024,Oct,Friday,2-4 PM,Staff C,20.6,19.2,Escalated to Department,Yes,No,1.8
10147,Student Business Services,Account Hold,Email,Undergraduate,Winter 2025,Mar,Tuesday,10-12 PM,Staff G,7.3,2.0,Escalated to Department,Yes,No,4.8
10148,Registrar,Graduation Check,Phone,Parent/Guardian,Winter 2025,Jan,Monday,2-4 PM,Staff D,8.6,16.8,Resolved on First Contact,No,No,4.4
10149,Financial Aid,FAFSA Status,Email,Prospective,Spring 2025,Jun,Thursday,8-10 AM,Staff E,7.8,9.4,Resolved on First Contact,No,No,5.0
10150,Financial Aid,Scholarship Inquiry,Phone,Undergraduate,Summer 2025,Aug,Monday,12-2 PM,Staff G,1.2,12.0,Escalated to Department,Yes,No,4.4
10151,General Inquiry,General Question,Phone,Prospective,Winter 2025,Jan,Friday,2-4 PM,Staff D,6.1,10.7,Resolved on First Contact,No,No,4.5
10152,Financial Aid,Award Letter,Walk-In,Undergraduate,Winter 2025,Jan,Friday,10-12 PM,Staff A,11.7,11.0,Resolved on First Contact,No,No,4.3
10153,Financial Aid,Award Letter,Email,Undergraduate,Fall 2024,Sep,Monday,12-2 PM,Staff B,10.0,12.3,Resolved on First Contact,No,No,4.8
10154,Registrar,Transcript Request,Walk-In,Graduate,Fall 2024,Sep,Monday,2-4 PM,Staff C,28.0,17.5,Follow-Up Required,No,Yes,4.0
10155,General Inquiry,Hours/Location,Walk-In,Undergraduate,Fall 2024,Oct,Wednesday,12-2 PM,Staff B,16.0,2.4,Resolved on First Contact,No,No,4.7
10156,Financial Aid,Work-Study,Phone,Undergraduate,Fall 2024,Sep,Wednesday,2-4 PM,Staff E,17.5,16.9,Resolved on First Contact,No,No,5.0
10157,Student Business Services,Account Hold,Virtual Appointment,Graduate,Spring 2025,Jun,Tuesday,10-12 PM,Staff D,2.2,14.5,Follow-Up Required,No,No,5.0
10158,Admissions,Orientation,Walk-In,Prospective,Spring 2025,Apr,Thursday,8-10 AM,Staff H,7.5,14.8,Resolved on First Contact,No,No,3.8
10159,Financial Aid,FAFSA Status,Email,Undergraduate,Fall 2024,Dec,Wednesday,8-10 AM,Staff E,6.0,12.3,Resolved on First Contact,No,No,3.7
10160,Student Business Services,Payment Plan,Walk-In,Undergraduate,Spring 2025,May,Tuesday,10-12 PM,Staff B,14.3,20.0,Follow-Up Required,No,Yes,4.2
10161,Registrar,Enrollment Verification,Walk-In,Undergraduate,Fall 2024,Sep,Monday,8-10 AM,Staff D,15.4,19.1,Escalated to Department,Yes,No,3.6
10162,Student Business Services,Refund Status,Walk-In,Graduate,Fall 2024,Oct,Thursday,12-2 PM,Staff G,13.2,20.4,Resolved on First Contact,No,No,4.5
10163,Student Business Services,1098-T,Walk-In,Undergraduate,Fall 2024,Oct,Monday,8-10 AM,Staff F,18.9,11.6,Resolved on First Contact,No,No,3.0
10164,Registrar,Enrollment Verification,Phone,Parent/Guardian,Winter 2025,Mar,Friday,8-10 AM,Staff F,28.5,22.0,Resolved on First Contact,No,No,4.6
10165,Financial Aid,Loan Questions,Walk-In,Graduate,Fall 2024,Sep,Wednesday,8-10 AM,Staff G,13.4,11.5,Resolved on First Contact,No,No,4.0
10166,Admissions,Residency,Phone,Graduate,Winter 2025,Jan,Wednesday,2-4 PM,Staff E,3.5,15.9,Escalated to Department,Yes,No,5.0
10167,Registrar,Grade Change,Virtual Appointment,Parent/Guardian,Winter 2025,Jan,Friday,12-2 PM,Staff H,4.7,18.1,Resolved on First Contact,No,No,4.8
10168,Financial Aid,Work-Study,Walk-In,Parent/Guardian,Summer 2025,Jul,Friday,10-12 PM,Staff F,15.6,27.7,Resolved on First Contact,No,No,4.2
10169,Financial Aid,Scholarship Inquiry,Email,Undergraduate,Fall 2024,Dec,Tuesday,2-4 PM,Staff H,5.7,18.3,Resolved on First Contact,No,No,4.7
